,Unnamed: 0.1,Unnamed: 0,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,classic,creative,modern,french,stars_cat,other
1,1,1,85.0,245.0,Kreativ,be,,Brussel-Hoofdstad - Bruxelles-Capitale,1050.0,,Brüssel,False,La Villa Lorraine by Yves Mattagne,50.7995482,4.3784961,2,0,https://guide.michelin.com/de/de/bruxelles-capitale/bruxelles/restaurant/la-villa-lorraine-by-yves-mattagne,https://www.lavillalorraine.be/,geschlossen,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,19:00-23:30,geschlossen,5.0,1,0,1,0,0,1,0,0,0,0
21,24,4,52.0,185.0,Französisch modern,be,Vlaams-Brabant,Leuven,3271.0,Thijs Vervloet,Averbode,False,Colette - De Vijvers,51.0295141,4.9904679,2,0,https://guide.michelin.com/de/de/vlaams-brabant/averbode/restaurant/colette-de-vijvers,https://www.restaurantcolette.be/,19:00-20:30,geschlossen,geschlossen,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30,5.0,0,0,0,1,0,0,1,1,0,0
25,28,8,100.0,232.0,Kreativ,be,West-Vlaanderen,Roeselare,8870.0,Angelo Rosseel,Izegem,False,La Durée,50.9120191,3.1957708,2,0,https://guide.michelin.com/de/de/west-vlaanderen/izegem/restaurant/la-duree,https://www.laduree.be/nl,geschlossen,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,geschlossen,5.0,1,1,0,0,0,1,0,0,0,0
27,30,10,85.0,170.0,Französisch klassisch,be,Hainaut,Mons,7331.0,Eric Fernez,Baudour,False,d'Eugénie à Emilie,50.4833038,3.8379089,2,0,https://guide.michelin.com/de/de/hainaut/baudour/restaurant/d-eugenie-a-emilie,https://fernez.com/deugenie-a-emilie/,geschlossen,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,12:00-15:00,4.0,1,0,0,0,1,0,0,1,0,0
29,32,12,175.0,215.0,Kreativ,be,Limburg,Maaseik,3920.0,Jan Tournier,Lommel,False,Cuchara,51.2309534,5.3097212,2,0,https://guide.michelin.com/de/de/be-limburg/lommel/restaurant/cuchara,https://www.cuchara.be/2020/,geschlossen,geschlossen,18:30-23:00,12:00-23:00,12:00-23:00,18:30-23:00,geschlossen,4.0,0,0,0,0,0,1,0,0,0,0
32,36,16,100.0,243.0,Modern,be,Hainaut,Ath,7890.0,Jean-Baptiste Thomaes,Ellezelles,False,Château du Mylord,50.7298541,3.6736201,2,0,https://guide.michelin.com/de/de/hainaut/ellezelles/restaurant/chateau-du-mylord,https://mylord.be/,geschlossen,geschlossen,19:00-00:00,19:00-00:00,19:00-00:00,19:00-00:00,12:00-16:30,5.0,1,0,0,0,0,0,1,0,0,0
36,41,1,100.0,160.0,Französisch kreativ,be,West-Vlaanderen,Roeselare,8800.0,Tim Boury,Roeselare,False,Boury,50.9374466,3.1403981,3,0,https://guide.michelin.com/de/de/west-vlaanderen/roeselare/restaurant/boury,https://www.restaurantboury.be/,geschlossen,geschlossen,19:00-20:00,19:00-20:00,19:00-20:00,19:00-20:00,geschlossen,4.0,1,1,0,0,0,1,0,1,1,0
56,62,2,75.0,315.0,Kreativ,be,West-Vlaanderen,Brugge,8310.0,Filip Claeys,Sint-Kruis,False,De Jonkman,51.207236,3.2777835,2,1,https://guide.michelin.com/de/de/west-vlaanderen/sint-kruis/restaurant/de-jonkman,https://dejonkman.be/nl,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,geschlossen,4.0,1,0,0,0,0,1,0,0,0,0
79,86,6,125.0,295.0,Kreativ,be,Antwerpen,Mechelen,2570.0,Thierry Theys,Duffel,False,Nuance,51.0957136,4.505835,2,0,https://guide.michelin.com/de/de/antwerpen/duffel/restaurant/nuance,https://resto-nuance.be/,19:00-21:00,geschlossen,geschlossen,19:00-21:00,19:00-21:00,19:00-21:00,19:00-21:00,5.0,1,0,0,0,0,1,0,0,0,0
80,88,8,169.0,330.0,Kreativ,be,Antwerpen,Antwerpen,2000.0,Viki Geunes,Antwerpen,False,Zilte,51.228828,4.4047543,3,0,https://guide.michelin.com/de/de/antwerpen/be-antwerpen/restaurant/t-zilte,https://www.zilte.be/,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30,19:00-20:30,geschlossen,geschlossen,5.0,1,1,1,1,0,1,0,0,1,0
