,Unnamed: 0.1,Unnamed: 0,Column1,Unnamed,lower_price,upper_price,cooking_type,country,state,county,postcode,chef,city,online_booking,restaurant_name,latitude,longitude,stars,sustainable,michelin_link,restaurant_website,monday,tuesday,wednesday,thursday,friday,saturday,sunday,days_open,wine_card,vegetarian,accessible,nice_view,Gebietseinheit,pretax_income,available_income,hourly_wage,classic,creative,modern,french,stars_cat,other
0,0,0,0,0,195.0,295.0,Kreativ,de,Bayern,München,80333,,München,FALSCH,JAN,481447975,115629878,3,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,geschlossen,19:00-19:30,19:00-19:30,19:00-19:30,19:00-19:30,geschlossen,geschlossen,40,0,0,0,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,0,1,0,0,1,0
1,1,0,0,0,195.0,295.0,Kreativ,de,Bayern,München,80333,,München,FALSCH,JAN,481447975,115629878,3,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/jan-1204321,https://jan-hartwig.com/,geschlossen,19:00-19:30,19:00-19:30,19:00-19:30,19:00-19:30,geschlossen,geschlossen,40,0,0,0,0,"München, Landkreis",51631.0,31835.0,38.32,0,1,0,0,1,0
2,2,1,2,2,135.0,185.0,Kreativ,de,Hessen,Frankfurt am Main,60323,Jochim Busch,Frankfurt am Main,FALSCH,Gustav,501207676,86704255,2,1,https://guide.michelin.com/de/de/hessen/frankfurt-am-main/restaurant/gustav464093,https://www.restaurant-gustav.de/,geschlossen,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,19:00-23:00,geschlossen,50,0,0,0,0,"Frankfurt am Main, Kreisfreie Stadt",49639.0,24246.0,37.21,0,1,0,0,0,0
3,3,2,15,15,158.0,228.0,Französisch zeitgemäß,de,Bayern,Miesbach,83700,Thomas Kellermann,Rottach-Egern,FALSCH,Gourmetrestaurant Dichter,476938521,117542108,2,0,https://guide.michelin.com/de/de/bayern/rottach-egern/restaurant/dichterstub-n,https://www.gourmetrestaurant-dichter.de/,geschlossen,geschlossen,18:30-22:30,18:30-22:30,18:30-22:30,18:30-22:30,geschlossen,40,1,0,1,0,"Miesbach, Landkreis",35505.0,31229.0,28.32,0,0,0,1,0,0
4,5,3,21,1,179.0,210.0,Kreativ,de,Bayern,Augsburg,86153,Christian Grünwald,Augsburg,FALSCH,AUGUST,483710103,109126019,2,0,https://guide.michelin.com/de/de/bayern/augsburg/restaurant/august495065,https://restaurantaugust.de/,geschlossen,geschlossen,geschlossen,18:00-22:00,18:00-22:00,18:00-22:00,geschlossen,30,0,0,0,0,"Augsburg, Landkreis",33861.0,25609.0,26.79,0,1,0,0,0,0
5,6,4,44,4,215.0,265.0,Französisch klassisch,de,Baden-Württemberg,Freudenstadt,72270,Torsten Michel,Baiersbronn,FALSCH,Schwarzwaldstube,485369113,83582803,3,0,https://guide.michelin.com/de/de/baden-wurttemberg/baiersbronn/restaurant/schwarzwaldstube,https://www.traube-tonbach.de/restaurants-bar/schwarzwaldstube/,geschlossen,geschlossen,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,19:00-22:00,50,1,1,1,1,"Freudenstadt, Landkreis",35283.0,25830.0,27.84,1,0,0,1,1,0
6,7,5,46,6,203.0,295.0,Französisch klassisch,de,Baden-Württemberg,Breisgau-Hochschwarzwald,79295,Udo Weiler,Sulzburg,FALSCH,Hirschen,478404612,77088806,2,0,https://guide.michelin.com/de/de/baden-wurttemberg/sulzburg/restaurant/hirschen78032,https://www.douce-steiner.de/de_home.html,geschlossen,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,4,1,0,0,0,"Breisgau-Hochschwarzwald, Landkreis",32488.0,25483.0,26.67,1,0,0,1,0,0
7,8,6,52,12,205.0,225.0,Französisch modern,de,Hessen,Frankfurt am Main,60325,Andreas Krolik,Frankfurt am Main,FALSCH,Lafleur,501214911,86565825,2,0,https://guide.michelin.com/de/de/hessen/frankfurt-am-main/restaurant/lafleur,https://www.restaurant-lafleur.de/,geschlossen,geschlossen,18:00-00:00,18:00-00:00,18:00-00:00,18:00-00:00,geschlossen,40,1,1,1,0,"Frankfurt am Main, Kreisfreie Stadt",49639.0,24246.0,37.21,0,0,1,1,0,0
8,9,7,57,17,205.0,235.0,Französisch kreativ,de,Bayern,München,80333,,München,FALSCH,Atelier,481402487,115735681,2,0,https://guide.michelin.com/de/de/bayern/mnchen/restaurant/atelier-1198719,https://www.bayerischerhof.de/de/,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,5,1,0,1,0,"München, Landeshauptstadt, Kreisfreie Stadt",50609.0,31859.0,38.09,0,1,0,1,0,0
9,11,8,59,19,215.0,245.0,Kreativ,de,Bayern,Kulmbach,95339,Tobias Bätz,Wirsberg,FALSCH,AURA by Alexander Herrmann & Tobias Bätz,501073707,116069241,2,0,https://guide.michelin.com/de/de/bayern/wirsberg/restaurant/alexander-herrmann-by-tobias-batz,https://herrmanns-posthotel.de/gourmet-restaurant/,geschlossen,geschlossen,18:00-23:00,18:00-23:00,18:00-23:00,18:00-23:00,geschlossen,4,0,1,0,0,"Kulmbach, Landkreis",34411.0,24848.0,26.92,0,1,0,0,0,0
